آمریکا 50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
آمریکایی 50
آموزش 50
آوری 50
اجباری 9
اجرایی 50,50
اختیاری 9
اخیر 9
اداره 50
اراضی 50
ارتش 50,50
اساسی 50
استعماری 50
استیناف 50
اصلی 9
اصول 16,16
اطلاعات 50,50,9
اطلاعاتی 50
افراد 16
افغانستان 50
اقتصادی 50
اقیانوسی 50
الگو 50,50
امنیت 50,50,50,50
امور 50,50,50
امورخارجه 50
امکان 9
انتخاباتی 50
انجام 9
اندازی 50,50
انرژی 16
انسانی 50
انقلاب 50
ایالات 50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
بازرگانی 50,50
بازنشسته 50,50,50
بالا 16
بالغ 16,16
بدبویی_دهان 9
برای 16,9
بسازید 9
بسیار 16
بهداشت 50,50
بیست 50
تأمین 16
تاریخ 50,50
ترابری 50,50
تصادفی 9
تغذیه 16,16
تغییرات 9
تفنگداران 50
توجه 16
توسعه 50
توصیه 16
جادویی 9
جمهور 50,50
جمهوری 50
جنسیت 16
جهانی 50,50
حاوی 9
حساب 9,9,9
حقوق 50,50,50,50,50
خارجه 50
خدمات 50,50
خزانه 50,50
خوردن 16
داخلی 50,50
دادگستری 50,50
دارای 1,9
داری 50,50
دانشنامهٔ 9
دربارهٔ 50
درصد 16
دریافت 16
دریافتی 16
دریایی 50,50,50,50
دستگاه 9
دعوت 9
دفاع 50,50
دفاعی 50
دموگرافیک 50
دهان 9
دولت 50
رئیس 50
روزانه 16
رویدادهای 9
ریاست 50
ریزمغذی 16
رییس 50
زبان 1
زمان 50
زمانی 50,50,50
زمینی 50,50
ساحلی 50,50
ساخت 9
سالمندان 16
سالگی 16,50
سامانه 9,9,9
سربازان 50,50,50
سرزمینی 50
سنای 50
سپاه 50,50
سیاسی 50
شامل 16,16
شهری 50
شوید 9,9
صفحه 4
صفحهٔ 4,9,9
صنعتی 50
صورت 9
طبیعی 1
طرفدار 50
طلایی 50
عالی 50
عبارت 9
علائم 9
علمی 50,50
عمده 50
عمومی 50,50,50
فدرال 50,50,50,50,50,50
فدرالیست 50
فناوری 50
قابل 16
قانون 50
متحده 50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
مجلس 50,50,50
محاسبه 16
محتوای 4
محتویات 4
مدنی 50,50,50,50,50,50
مربوط 50
مستعمره 50,50
مستقل 50
مسکن 50
مشابه 16,50
مشاهده 50
معدنی 16
معینی 16,16
مقالات 50
مقررات 50
مواد 16
مورد 16
موقت 50
میزان 16,16
میهن 50
ناحیه 50
نشانی 9
نظامی 50,50,50
نظامیان 50
نمایندگان 50,50,50
نوار 9
نوین 50
نیاز 16,16
نیروی 50,50
نیست 9
هرچند 9
همانند 16
همراه 9
همین 9
هوایی 50,50,50
وارد 9,9,9
واژگان 1
وجود 1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ویتامین 16
ویرایش 50
ویژه 16
ویکی 9
پستی 50
پیرامون 4,9,9
پیوند 4,9
کاربری 9,9
کارکنان 50
کافی 16
کالری 16
کردن 9
کشفیات 50
کشور 50,50
کناری 9
کودک 16,16
کودکان 16,16,16
کیفیت 16
گرچه 9
گزینندگان 50
گوارش 9
