0 2,2,2,2,2
038 2
1 2
1105 2
116 2
121 2
136 2
1372 2
14 2
142 2
16 2
1688 2
2 2
278 2
291 2
3 2,2
34 2
35 2,2
38 2
394 2
424 2
444 2
45243 2
48 2
507 2
5246 2
53 2
5910 2
645 2
689 2
7053 2
72 2
846 2
96 2
آذر 4
آذربایجان 4
آرزوی 3,3
آزاد 2
آستانه 3
آسیا 3,3,3
آفریقای 4
آقای 3
آل 3
آل‌کثیر 3
آمریکا 4
آن 4
احترامی 3
اخیر 3
اردن 4
ارز 4,4,4,4
ارزش 2
ارزشی 2
ارزش‌گذاری 4
ارمنستان 4
از 1,1,3,3,3,4
اساس 4
است 1,3,3,3,3
استرالیا 4
اعلام 4,4,4
افت 4
افزایش 2,2,2,2,4
افزون 4
افغانستان 4
افغانی 4
الهامی 1,1
اما 3
امارات 4
امروز 2,4,4
اندازه 3
اندونزی 4
انقدر 3
انواع 4
انگلیس 4
اوراق 2
اول 2
اگر 3,3
این 1,1,3,3,4
اینجا 3
با 1,1,1,2,2,2,2,2,2,2,3,3,3,4
بات 4
بازار 2,2
بازهم 2
بازی 3
بازیکن 3
بازیکنان 3
بازیکن‌های 3
باشد 3
باشید 3
بانک 4,4,4
بتواند 3
بحرین 4
بدلیل 1
بدون 4
بر 4,4
براساس 4
برای 3,3,3,3,4,4
بردم 3
برکنار 1,1
برکناری 1
برگزاری 3
برگه 2
بلاروس 4
بله 3,3
بنگلادش 4
به 1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4
بهادار 2
بود 1,1,1,3
بورس 2,2,2
بولیوار 4
بیاورد 1
بیستم 1
تابناک 1,3
تاجیکستان 4
تاکای 4
تایلند 4
تبریز 1
ترابی 3
تراکتور 1,1,1,1
ترکمنستان 4
ترکیه 4
تصمیم 1
تعیین 4
تغییر 4
تمام 3
تمامی 3
تمام‌کننده 3
تنه 3
تنها 1
تنگه 4
توانسته 1,1
تیم 1,3,3,3,3,3
ثابت 4
جام 1,3
جانشینی 1
جدید 4,4,4
جدی‌ترین 1
جنوبی 4,4
جور 3
حاضر 3
حال 3,3
حد 3
حذفی 1
حضور 3
حمله 3
خط 3
خورد 4,4
خیلی 3
داد 2
داده 3
دارد 3,3,3,4
دارم 3
داشت 3
دانست 3
دانمارک 4
دایی 3,3
در 1,2,2,2,3,3,3,3,3,3,3,3,4
درام 4
درباره 3
درصد 2,2,2,2,2,2,2,3
درهم 4
دست 1,3,3
دقت 3
دلار 4,4,4,4,4,4
ده 4
دو 2,2,4
دوست 3
دوش 3
دوم 2,2
دیده 3
دینار 4,4,4,4,4
دیگر 4
را 1,3,3,3,3,3,3,4
راند 4
راه 3
رسمی 4,4
رسید 2
روبل 4,4
روز 4,4
روسیه 4
روپیه 4,4,4,4,4
ریال 2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ریالی 4
رینگیت 4
زمستان 1
ساکت 1
ستدهای 2
سرخپوشان 3
سرمربی 1,1
سریلانکا 4
سعودی 4
سمتش 1,1
سنگاپور 4
سه 4
سوئد 4
سوئیس 4
سوریه 4
سومونی 4
سوی 4
شاخص 2,2,2,2,2,2
شاخص‌ 2
شانس 3,3
شایسته 3
شد 1,1,2,2,4,4,4
شده 1
شناور 2
شنبه 4
شود 1,3
صحبت 3
ضعف 3
ضعیف 1,1
طارمی 3
عراق 4
عربی 4
علت 1
علی 3
علیرضا 1
علیپور 3
عمان 4
عنوان 1,3
عیسی 3
غیبت 3
فرانک 4
فصل 1
فوروارد 3
فورواردهایش 3
فورواردی 3
فکر 3,3
فیلیپین 4
فینال 3,3
قائلم 3
قبل 4
قرمز 2
قزاقستان 4
قطر 4
قهرمان 1,3
قهرمانان 3
قهرمانی 3,3,3,3,3,3
قیمت 2,2,4,4,4
لاری 4
لیبی 4
لیر 4,4
لیگ 1,3
ما 3
مالزی 4
ماند 4
ماه 4
متاسفانه 3
متحده 4
محروم 3
مدت 3
مدیران 1
مرکزی 4,4
مطرح 1
مطمئنا 3,3
معادل 2,2,2,2,2,2,2
معاملاتی 2
معامله 2
من 3
منات 4,4
منصوریان 1,1,1
منفی 2,2
موثر 3
موثری 3
موفقیت 3
میانمار 4
میلیارد 2,2
میلیون 2,2,2,2,2,2
می‌بینید 3
می‌تواند 3,3
می‌دانید 3
می‌کشید 3
می‌کنم 3
می‌کنید 3
می‌گفتم 3
نام 1,3
نتایج 1,1
نخست 1
ندارد 3
ندید 1
نرخ 4,4,4,4,4,4
نروژ 4
نسبت 4,4
نصوریان 1
نظر 3
نفراتی 3
نمی‌شد 3
نوبت 2
نپال 4
نیز 4,4
نیمه 2
نیوزیلند 4
هجدهم 4
هدایت 1,3
هر 4,4,4,4
هزار 2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
هفته 1
هم 1,2,2,3
همه 3
همچنین 4,4
هند 4
هنگ‌ 4
و 1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
واحد 2,2,2,2,2,2
وجود 3
ورزشی 1,3
وزن 2,2
ولی 3,3,3
ونزوئلا 4
وون 4
پاکستان 4
پتانسیل 3
پرسپولیس 3,3,3,3,3,3,3
پزوی 4
پوند 4
پیدا 3
پیروزی 1,3
چرا 3,3
چند 3,3
چین 4
ژاپن 4
کار 3
کانادا 4
کاهش 2,4,4
کثیر 3
کرد 3,4
کرده 3
کره 4
کرون 4,4,4
کسب 1
کل 2
کم 3
کند 3
کنگ 4
که 3,3,4,4
کویت 4
کیات 4
گذشته 1,4
گرجستان 4
گزینه 1
یافت 4
یحیی 3
یعنی 3
ین 4
یوان 4
یورو 4
یک 1,4,4
یکصد 4,4,4,4,4,4,4,4,4
۱۰ 4
۱۰۹ 4
۱۱ 4,4,4
۱۱۱ 4
۱۱۶ 4
۱۲ 4,4,4
۱۳ 4
۱۳۷ 4
۱۳۹ 4,4
۱۶ 4
۱۷۶ 4
۱۸۷ 4
۲ 4,4,4
۲۰۰ 4
۲۰۶ 4
۲۱۶ 4
۲۲ 4
۲۲۲ 4
۲۳۱ 4
۲۳۸ 4
۲۴ 4
۲۵۵ 4
۲۶ 4
۲۸۴ 4
۲۹ 4
۳ 4,4
۳۱ 4,4,4
۳۲ 4,4
۳۲۲ 4
۳۵ 4
۳۷۱ 4
۳۷۵ 4
۳۷۷ 4
۳۸ 4
۳۹۳ 4
۴ 4
۴۰ 4
۴۱۹ 4
۴۲۵ 4
۴۳۷ 4
۴۷ 4
۴۹ 4
۵ 1,4,4,4
۵۰ 4
۵۲۶ 4
۵۳۹ 4
۵۶ 4
۵۶۹ 4
۶ 4
