آئروژینوزا 33,33,33,33,33,33,33,33,33,33
آبرسانی 34
آتشفشانی 32,32,32
آخرین 35,35
آداب 31
آرام 31,31
آرامش 31,31,31,31
آرامی 31
آرشیو 15,28,30
آزاد 30,31,34,34
آزمایش 30,31,33
آزمایشگاهی 33,33
آسیا 35
آسیب 35,35
آغاز 18,35
آفتاب 31
آفتابی 31
آفریقا 15
آقایان 31,31
آلزایمر 31
آلوده 18,30,33
آلودگی 30,33
آلودگیهای 33
آلژینات 33
آلیاژهای 33,33,33
آماده 18,31,34
آمار 15
آماس 33
آمدن 18
آمده 15
آمریکا 35
آموزش 31,31,35,35,35,35
آموزشی 18,35,35
آمیزش 18
آمیزشی 15
آمیناز 33
آمیکاسین 33
آنان 35,35
آنتی 30,33
آنجا 31,33
آنجایی 31
آنزیم 30
آنزیمی 12
آنگلیسی 8
آورد 30
آوردن 30
آورده 31,33
آوری 15,15
آوریل 28,28,32,32
آویزان 34
آکادمیک 35
آکسفورد 33
آگار 33,33
آیتم 29,3,30,31,32,33,34,35,8
آینده 31,31,31
ائوزین 33
ابتدا 35
ابتدای 31
ابتلا 28,31,31,31,31,31,31,31
ابزار 30
ابزارهای 30,35
ابعاد 31
اتاق 18,18,30,30
اتصال 30
اتمام 34
اتوکلاو 30,30,30,30
اتیلن 30
اثر_تصادفی 4
اجارهٔ 18
اجازه 31
اجباری 29,30,31,32,33,33,34,35,8
اجتماعی 15,31,31,31,35
اجتماعیٔ 31
اجرا 35
اجرای 30,30,30,35,35,35,35,35
اجزاء 30
اجسام 30
احترام 18
احتمالاً 31
احتمالی 31
اختلال 30
اختلالات 35,35,35,35
اختیار 18
اختیاری 29,3,30,31,32,33,34,35,8
اخلاق 13
اخلاقیات 31
اخیر 29,29,30,30,31,31,32,32,33,33,34,34,35,35,8,8
اداره 30
ادامه 35
ادبی 32
ادرار 18,18,18,34,34,34,34,6,6,6,6,7
ادرارشان 18
ادراری 15,15,33,6,6
ادعا 31
ادیولوژیک 35,35
ادیومتری 35
ارائه 35,35,35,35,35
ارتباط 15,18,18,33,35,35,35
ارتباطی 35,35,35,35
ارتقاء 31
ارجاع 28,35
ارجاعات 31
ارزشمندی 31
ارزیابی 35,35,35,35
ارشد 15,15,15
ارلن 30
ارنست 15,15
اروپا 35
اروپای 15
ارکان 31
ارگانسیم 33
ارگانیک 13
ازای 18
ازدواج 35
اساس 30,34
اساسی 31,33,33
استاندارد 28,28,28,28,28
استانداردهای 30
استحکام 32
استخراج 32
استخوان 31,31,33
استراحت 31,31,32,34
استرالیا 35
استرس 13,31,31,31
استریل 30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
استریلیزاسون 30
استریلیزاسیون 30,30,30,30,30,30
استریلیزه 30
استفاده 18,18,18,18,18,18,18,18,18,18,18,18,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,32,32,32,32,32,32,32,33,33,33,34,34,35,35,35,35,8,8,8
استفادهٔ 18,18
استیله 30,30
اسرار 15
اسلام 15
اسلامی 34
اسلحه 8
اسپرینگ 15
اسپور 30
اسیدهای 30
اشاره 32,35,35,8
اشتباه 18
