آخرین 17,17,17,17,17,7
آدرس 7,7
آزاد 2
آزمایش 17,18
آزمایشی 7
آزمون 19
آسیایی 17
آسیب 19
آشنا 7
آشکار 17,19
آغاز 17,17,17,7
آفریقا 18
آلات 18,19,19,19,19,19,19,19,19,19,19
آلاتی 19
آلفرد 17,17,17,17,17,17,17,17,17,17
آلمانی 18
آلودگی_اطلاعات 1
آماده 19
آمدن 11
آمده 17
آمریکا 17,17,18
آمریکایی 17
آموزش_الکترونیکی 2
آموزشی 2,3
آنجا 17,17,19
آنجایی 19,19
آنقدر 7
آنلاین 2,2,3
آنچنان 7
آنکه 17,17,17,17
آورد 17
آوردن 12
آورده 7
آوری 19
آوریل 17,17,17
آکادمی 17,17,17,17,17,17,17,17,17,17
آکسل 17
آگاه 4
آگاهی 7
آگهی 17,17
آیتم 1,12,17,18,19,4
آینده 17,17
ابتدا 17,17,7,7
ابتدای 7
ابتلا 17
ابداع 17,19
ابداعات 12
ابراز 7
ابزار 17,19,19,19,19
ابزارهای 19
ابعاد 19
ابعادی 19
اتحادیه 17
اتخاذ 18
اتصال 18,19
اتصالات 18
اتفاق 18,7
اتوماتیک 19,19
اتوماسیون 19,19,19,19,19,19,19,19,19,19,19
اتومبیل 19,19
اثربخش 7
اثربخشی 12
اجاره 18
اجازه 18,18
اجباری 12,17,18,19,4
اجتماعی 2,2
اجرا 18,18,18,19,19,7,7
اجرای 18,19,19,19
اجزای 19,19,19
اجسام 11,11
اجماع 17
احتمال 19
احتمالاً 17,17
احتمالی 17
احتیاج 17
احساس 7,7
احقاق 7
اختراع 17,17,17,17,17,18,7
اختراعش 17
اختصاص 17,17,17,17,7
اختصاصی 17
اختلاف 17,4,7
اختیاری 12,17,18,19,4
اخیر 12,12,12,17,17,18,18,18,19,19,4,4
ادامه 17,17,7
ادبی 17
ادبیات 17,17,17,17,17,17,17,17,17,17,17,17,17,17
ادعا 12
ادعاهای 17
ادغام 12
ادوبی 7
ارئه 17
ارائه 17,17,17,17,17,17,17,17,17,17,17,18,18,18
ارایهٔ 12,18
ارتباط 12,17,18,4,4,4,4
ارتباطات 18,3,3,4,4,4,4
ارتباطی 4,4
ارتفاع 18
ارتقای 12
ارجاع 11,11,11,12,18
ارجاعات 12
اردیبهشت 17,17
ارزش 17,17,7,7
ارزشمند 12,7
ارزشمندتر 7
ارسال 17,18
ارمغان 17,17
اروپا 17,18
اروپایی 18
اریک 7
ازای 18,18
ازدواج 17
اساس 17,17,17,17,18
اساسنامه 17,17
اساسی 19
اسامی 17
استادان 4
استاندارد 18,18,18,18,19
استثنای 17
استدلال 17
استعداد 12
استعلاجی 2
استفاده 11,12,12,12,16,16,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,3,4,7,7,7
استقبال 18,18
استناد 17,17
استورتینگ 17
استکهلم 17,17,17,17,17,17
استیو 7,7,7
اسفند 17
اسلامی 1
اسلو 17
اسپانیایی 18
اسکار 17,17,17,17,17
اسکاندیناوی 17
اسکناس 18,18,18,18,18,18
اسکناسهای 18
اسکنر 18
اسکودوسکا 17
اشاره 17,7
اشتباه 17
اشتراک 4,4
اشخاص 17,17,17
اشغال 19
اشکال 19
اصطلاح 12,19
اصطلاحات 18,18,18,2
اصلاح 18
اصلی 12,17,17,18,18,18,18,19,19,4,7
اصول 19,19
اصولاً 17,7
اصولی 17
اضافی 11
اطلاع 1
اطلاعات 1,1,12,17,18,18,18,19,3,3,3,4,7
اطلاعاتشان 7
اطلاعاتی 19
اطلاق 12
اظهار 17
اعتبار 17,17,18
اعتماد 12,18,19,4
اعداد 19
اعصاب 3
اعضا 17
اعضاء 17
اعضای 17,17,17,17,17,17,17
اعطا 17,17,17,17,17,17,17
اعطاء 17,17,17,17
اعطاشده 17
اعطای 17,17,17,17,17,17,17
اعلام 17,17,17,17,17,17,17,17,17
اعلامیه 7
اعلان 17
اغلب 17,17,17,18,18,18,19
افتتاح 18
افتضاح 7
افراد 12,12,17,17,17,17,17,17,17,17,17,17,7
افرادی 17,17,17,17,17
افزار 18,18,18,18,18,18
افزاری 18,18,18,18,18
افزایش 12,12,12,12,18,18,19,19,7
افزایشی 18
اقتباس 7
اقتصاد 12,17,17,17,17,17,18,18,18
اقتصاددانان 17
اقتصادی 17,17,19
اقدام 18,7
البته 17,17,17,7
الهام 17
الکترومکانیک 19
الکترونیکی 17,18,18,19,2,2
الگو 11,11,16,16,16,17,17,3,3
الگوهای 19
الگوی 1,11,17
امرارمعاش 2
امروز 7,7
امروزه 1,18,19
امضا 17,17
املا 12,4
امنیتی 18
امور 17,17,7,7,7,7,7,7
امکان 12,12,17,18,18,18,18,19,4,4
امکاناتی 3
انبوه 19,19
انتخاب 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19
انتشار 1
انتشارات 3
انتظار 18
انتقاد 17,17
انتقادات 17
انتقاداتی 17
انتقال 17,18,18,19,19,4
انجام 1,11,12,12,12,12,17,17,17,17,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,3,4,7,7,7
انجمن 2
انحلال 17
اندروید 7,7
اندرکنش 11,11
اندکی 17,17,17
اندیکیتور 18
انرژی 12,18,19,3,3
انزوای 17
انسان 11,11,19,19
انسانی 12,18,4
انشا 12,4
انفیلد 18,18
انواع 19,19
انگلستان 18
انگلیسی 17,3
انگیزه 18,18
اهدا 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
اهداء 17
اهداف 17,2
اهدای 17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
اهدایی 17
اواخر 17
اواسط 19
اوایل 17,19
اوربیتال 17
اورولوژیست 7
اوضاع 7
اوقات 3
اولین 17,18,18,19,7,7,7
اولیه 19,19
اپتیک 3
اپراتور 18,18,19,19
اکتبر 1,17,17,17,7,7,7
اکتشاف 17
اکثریت 17,18
اکسپتور 18
اکسید 17
اکنون 18,18
اگرچه 17,18,19
ایالات 19,4,7
ایتالیا 17
ایجاد 17,17,18,19,7,7
ایران 18,18,18,18,18,18
ایرانی 18,18
ایرلند 17
ایزاکسون 7
ایمن 18
ایمنی 19
ایمیل 7
اینترنتی 3
اینجانب 17,17
اینکه 17,17,17,17,17,17,18,18,19
بارز 19
باروت 17,17
بارکد 18,18
بارکدهایی 18
بارکلیز 18,18
بارکِلیز 18
بارگیری 19
بازار 18,19,7
بازاریابی 7
بازبینی 17
بازدیدکنندگان 7
بازرگانان 18
بازرگانی 3
بازگرداندن 17
بازگشت 7
بازی 17
بازیافت 18
