آثار 12,17
آحاد 13
آدرین 23
آدولف 18
آرشیو 18
آرمانی 14
آزاد 11,26,4
آزادی 10,10
آزادیم 10
آزمایش 10,26,26,27,27,27,27,27,27
آزمایشگاهی 27,27,27,27,27,27,27,27,27
آستانهٔ 10
آسمانی 26,26
آشکارساز 10
آشکارسازی 10
آغاز 18,18,26
آلبرت 26
آلمان 18,18,18,18,18,18
آلمانی 18
آلوئولار 5
آلیسم 23,23
آماری 11,11,26
آمده 1,10,10,11,27
آمریکا 18,18
آمریکایی 18
آموزش 18,18,18,18
آموزشی 18,26
آمیخته 26
آوادرخشش 1
آوار 1
آوردن 4,4
آوریم 24
آونگ 27,27
آژانس 18
آکسفورد 12
آکوستیک 19,19,19,19
آگاه 23,26
آگوست 23,23
آگوستن 19
آیتم 12,13,14,15,16,17,18,19,24,25,26,27
آیزاک 26
آیند 19
آینده 18
آیندگان 26
ابتدا 14,18,26
ابتدای 26
ابتدایی 26
ابتلا 5
ابداع 15,25
ابزار 10
ابعاد 26,26,26
ابعادی 26,26,26,26
ابهام 10
اتحاد 4
اتفاق 10,10,18,5
اتمام 17
اتمسفر 5
اتمی 10,12,15,18,18,18,18,26,26,26,26,26
اتمیسم 23
اثبات 25,27,27
اثباتی 10
اثر_دبای 2
اثرگذاری 27
اجازه 10
اجباری 12,13,14,15,16,17,18,19,24,25,26,27,5
اجرایی 18
اجسام 14,14,19,26,26,26,26
اجسامی 26
اجماع 23,26
احتراق 17
احتمال 10,18
احتمالات 10,10
احساس 19
احمد 26
اختراع 25
اختیاری 12,13,14,15,16,17,18,19,24,25,26,27,5
اخلاقی 23
اخیر 12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,24,24,25,25,26,26,27,27,5,5
ادامه 18,26,26,26
ادعا 10,26
ادوارد 23
ارائه 10,18,24,26,26,26
ارابه 23,26
ارایهٔ 15
ارتباط 19
ارتباطات 26,26,26
ارتعاش 19,19,19,19
ارجاع 15,5,5
ارجاعات 26
اردن 18,18,18,18,18,18,18
اردیبهشت 18
ارمنستان 18
اروپای 27
اروین 10
ازای 17
اساس 10,19,27,27,27
اساسی 10,13,18,19,19
استاد 10,18,18
استامپ 12
استاندارد 10,14,26,26,26,26,27,4
استخراجی 10
استخوان 19
